,doc,page,min,max,year,pos,len,blocks_on_page,group
59,Economics-1955-0,7,0.77103716,0.8641879,1955.0,center,0.09315074000000001,10,E5
60,Economics-1955-0,7,0.91780823,0.9268101999999999,1955.0,btm,0.009001969999999915,10,E5
61,Economics-1955-0,7,0.9299413,0.95225048,1955.0,btm,0.02230918000000004,10,E5
62,Economics-1955-0,8,0.072407044,0.08062622,1955.0,top,0.008219175999999995,7,E5
63,Economics-1955-0,8,0.07084148400000001,0.081017613,1955.0,top,0.010176128999999992,7,E5
64,Economics-1955-0,8,0.099412918,0.42309198000000003,1955.0,center,0.323679062,7,E5
65,Economics-1955-0,8,0.42426616,0.69706458,1955.0,center,0.27279842000000004,7,E5
66,Economics-1955-0,8,0.70841485,0.72446185,1955.0,center,0.016046999999999922,7,E5
67,Economics-1955-0,8,0.7330724,0.8575342300000001,1955.0,center,0.1244618300000001,7,E5
68,Economics-1955-0,8,0.91780823,0.95225048,1955.0,btm,0.03444225000000001,7,E5
69,Economics-1955-0,9,0.07984344700000001,0.091585129,1955.0,top,0.01174168199999999,8,E5
70,Economics-1955-0,9,0.081017613,0.088845402,1955.0,top,0.007827789000000002,8,E5
71,Economics-1955-0,9,0.10763209,0.19373778,1955.0,center,0.08610569,8,E5
72,Economics-1955-0,9,0.19804305,0.62818003,1955.0,center,0.43013698,8,E5
73,Economics-1955-0,9,0.6324853300000001,0.83679062,1955.0,center,0.20430528999999997,8,E5
74,Economics-1955-0,9,0.83757341,0.86810178,1955.0,center,0.030528370000000082,8,E5
75,Economics-1955-0,9,0.91780823,0.9268101999999999,1955.0,btm,0.009001969999999915,8,E5
76,Economics-1955-0,9,0.9299413,0.95225048,1955.0,btm,0.02230918000000004,8,E5
77,Economics-1955-0,10,0.07358121100000001,0.082583167,1955.0,top,0.009001955999999992,10,E5
78,Economics-1955-0,10,0.072407044,0.082583167,1955.0,top,0.010176122999999995,10,E5
79,Economics-1955-0,10,0.10097847,0.33150685,1955.0,center,0.23052838000000003,10,E5
80,Economics-1955-0,10,0.33542076,0.4590998,1955.0,center,0.12367904000000002,10,E5
81,Economics-1955-0,10,0.46223092,0.5154599,1955.0,center,0.05322897999999998,10,E5
